"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Calcite","Anatase","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Anatase","Calcite","Anatase","Calcite","Calcite","Anatase","Calcite","Calcite","Anatase","Calcite","Calcite","Anatase","Calcite","Anatase","Calcite","Anatase","Calcite","Anatase","Calcite","Anatase","Calcite","Calcite","Calcite","Calcite","Anatase","Anatase","Calcite","Calcite","Anatase","Anatase","Calcite","Anatase","Anatase","Anatase","Calcite","Calcite","Calcite","Calcite","Anatase","Anatase","Calcite","Anatase","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Anatase","Calcite","Anatase","Calcite","Anatase","Calcite","Anatase","Calcite","Anatase","Calcite","Calcite","Anatase","Calcite","Anatase","Calcite","Calcite","Anatase","Calcite","Anatase","Anatase","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Anatase","Calcite","Calcite","Calcite","Calcite","Anatase","Anatase","Anatase","Calcite","Calcite","Calcite","Anatase","Calcite","Anatase","Calcite","Anatase"
"Clinoptilolite-K","Calcite","Clinoptilolite-Ca","Clinoptilolite-Ca","Clinoptilolite-K","Clinoptilolite-dehy-K","Clinoptilolite-hy-K","Clinoptilolite-hy-K","Clinoptilolite-Ca","Clinoptilolite-dehy-K","Calcite","Clinoptilolite-dehy-Ca","Calcite","Clinoptilolite-Ca","Clinoptilolite-Ca","Calcite","Clinoptilolite-dehy-K","Clinoptilolite-dehy-K","Calcite","Clinoptilolite-Ca","Clinoptilolite-dehy-K","Calcite","Clinoptilolite-dehy-Ca","Calcite","Clinoptilolite-hy-Ca","Calcite","Clinoptilolite-K","Calcite","Clinoptilolite-K","Calcite","Clinoptilolite-hy-K","Clinoptilolite-hy-K","Clinoptilolite-dehy-Ca","Clinoptilolite-Ca","Calcite","Calcite","Clinoptilolite-K","Clinoptilolite-hy-Ca","Calcite","Calcite","Clinoptilolite-K","Calcite","Calcite","Calcite","Clinoptilolite-hy-Ca","Clinoptilolite-hy-K","Clinoptilolite-hy-Ca","Clinoptilolite-Ca","Calcite","Calcite","Clinoptilolite-Ca","Calcite","Clinoptilolite-hy-Ca","Clinoptilolite-dehy-Ca","Clinoptilolite-dehy-Ca","Clinoptilolite-dehy-Ca","Clinoptilolite-K","Clinoptilolite-dehy-Ca","Calcite","Clinoptilolite-K","Calcite","Clinoptilolite-Ca","Calcite","Clinoptilolite-dehy-Ca","Calcite","Clinoptilolite-dehy-K","Calcite","Clinoptilolite-dehy-K","Clinoptilolite-hy-K","Calcite","Clinoptilolite-K","Calcite","Clinoptilolite-dehy-Ca","Clinoptilolite-dehy-K","Calcite","Clinoptilolite-K","Calcite","Calcite","Clinoptilolite-K","Clinoptilolite-dehy-K","Clinoptilolite-Ca","Clinoptilolite-dehy-K","Clinoptilolite-dehy-Ca","Clinoptilolite-hy-K","Calcite","Clinoptilolite-K","Clinoptilolite-hy-K","Clinoptilolite-dehy-Ca","Clinoptilolite-dehy-K","Calcite","Calcite","Calcite","Clinoptilolite-dehy-Ca","Clinoptilolite-K","Clinoptilolite-dehy-Ca","Calcite","Clinoptilolite-dehy-Ca","Calcite","Clinoptilolite-dehy-Ca","Calcite"
"Fe(OH)3","Clinoptilolite-K","Clinoptilolite-hy-K","Clinoptilolite-dehy-K","Fe(OH)3","Fe(OH)3","Hematite","Fe(OH)3","Clinoptilolite-hy-K","Larnite","Clinoptilolite-hy-Ca","Clinoptilolite-hy-K","Clinoptilolite-Ca","Clinoptilolite-hy-K","Clinoptilolite-dehy-K","Clinoptilolite-Ca","Goethite","Fe(OH)3","Clinoptilolite-dehy-K","Clinoptilolite-K","Clinoptilolite-hy-Ca","Clinoptilolite-dehy-Ca","Clinoptilolite-dehy-K","Clinoptilolite-K","Clinoptilolite-hy-K","Clinoptilolite-hy-K","Hillebrandite","Clinoptilolite-K","Fe(OH)2","Clinoptilolite-hy-K","Hematite","Goethite","Clinoptilolite-hy-K","Clinoptilolite-K","Clinoptilolite-dehy-K","Clinoptilolite-dehy-K","Larnite","Clinoptilolite-K","Clinoptilolite-hy-K","Clinoptilolite-hy-K","Fe(OH)2","Clinoptilolite-dehy-K","Clinoptilolite-K","Clinoptilolite-hy-K","Clinoptilolite-hy-K","Hematite","Clinoptilolite-K","Clinoptilolite-K","Clinoptilolite-dehy-Ca","Clinoptilolite-Ca","Clinoptilolite-K","Clinoptilolite-hy-Ca","Clinoptilolite-hy-K","Clinoptilolite-hy-K","Clinoptilolite-K","Clinoptilolite-hy-K","Fe(OH)3","Clinoptilolite-K","Clinoptilolite-K","Fe(OH)2","Clinoptilolite-hy-Ca","Clinoptilolite-hy-K","Clinoptilolite-Ca","Clinoptilolite-K","Clinoptilolite-Ca","Hematite","Clinoptilolite-dehy-Ca","Fe(OH)3","FeO","Clinoptilolite-hy-Ca","Larnite","Clinoptilolite-dehy-K","Clinoptilolite-K","Hillebrandite","Clinoptilolite-dehy-K","Hillebrandite","Clinoptilolite-hy-Ca","Clinoptilolite-dehy-K","Ilmenite","Larnite","Clinoptilolite-hy-K","Fe(OH)3","Clinoptilolite-hy-K","FeO","Clinoptilolite-dehy-K","Hematite","FeO","Clinoptilolite-hy-K","Fe(OH)3","Clinoptilolite-dehy-K","Clinoptilolite-dehy-K","Clinoptilolite-dehy-K","Clinoptilolite-dehy-K","Fe(OH)2","Clinoptilolite-dehy-K","Clinoptilolite-hy-K","Clinoptilolite-hy-K","Clinoptilolite-dehy-Ca","Clinoptilolite-dehy-K","Clinoptilolite-dehy-K"
"Larnite","Larnite","Fe(OH)3","Hematite","Ilmenite","Hillebrandite","Merwinite","Merwinite","Fe(OH)3","Quartz","Clinoptilolite-K","Fe(OH)2","Clinoptilolite-K","Larnite","Larnite","Clinoptilolite-dehy-K","Hillebrandite","Hillebrandite","Fe(OH)3","Fe(OH)3","Larnite","Clinoptilolite-hy-K","Ilmenite","Larnite","Hematite","Hillebrandite","Ilmenite","FeO","Hillebrandite","FeO","Hillebrandite","Ilmenite","FeO","Hillebrandite","Clinoptilolite-hy-Ca","Clinoptilolite-hy-Ca","Quartz","Goethite","FeO","FeO","Ilmenite","FeO","Fe(OH)2","Hematite","Hematite","Hillebrandite","Fe(OH)2","Fe(OH)3","Clinoptilolite-hy-K","Clinoptilolite-K","Ilmenite","Clinoptilolite-K","Hematite","FeO","FeO","Fe(OH)3","Hillebrandite","FeO","FeO","Merwinite","Clinoptilolite-hy-K","Goethite","Clinoptilolite-hy-K","FeO","Clinoptilolite-dehy-K","Ilmenite","Clinoptilolite-dehy-K","Hillebrandite","Ilmenite","Clinoptilolite-hy-K","Quartz","Fe(OH)3","Fe(OH)2","Ilmenite","Merwinite","Quartz","Clinoptilolite-hy-K","Clinoptilolite-hy-Ca","Larnite","Quartz","Fe(OH)3","Larnite","Hematite","Ilmenite","Fe(OH)2","Ilmenite","Ilmenite","Fe(OH)3","Hillebrandite","Fe(OH)3","Clinoptilolite-hy-Ca","Fe(OH)2","Merwinite","Ilmenite","Merwinite","Hillebrandite","Hematite","Clinoptilolite-dehy-K","FeO","Larnite"
"Quartz","Quartz","Larnite","Merwinite","Larnite","Quartz","Quartz","Quartz","Larnite","Rutile","Merwinite","Merwinite","Fe(OH)2","Quartz","Quartz","Hillebrandite","Quartz","Quartz","Hillebrandite","Merwinite","Magnetite","Fe(OH)3","Larnite","Quartz","Ilmenite","Quartz","Quartz","Larnite","Ilmenite","Hillebrandite","Ilmenite","Larnite","Merwinite","Ilmenite","Hematite","Fe(OH)3","Rutile","Ilmenite","Merwinite","Merwinite","Larnite","Merwinite","Larnite","Hillebrandite","Hillebrandite","Quartz","Merwinite","Larnite","Goethite","FeO","Merwinite","FeO","Larnite","Hillebrandite","Hillebrandite","Ilmenite","Ilmenite","Hillebrandite","Larnite","Quartz","Fe(OH)3","Merwinite","Hematite","Ilmenite","Hillebrandite","Merwinite","Fe(OH)3","Quartz","Larnite","Magnetite","Rutile","Larnite","Larnite","Quartz","Quartz","Rutile","Fe(OH)3","Hillebrandite","Quartz","Rutile","Hillebrandite","Quartz","Ilmenite","Larnite","Larnite","Larnite","Merwinite","Merwinite","Ilmenite","Larnite","Larnite","Larnite","Quartz","Merwinite","Quartz","Quartz","Hillebrandite","Larnite","Hillebrandite","Quartz"
"Rutile","Smectite-low-Fe-Mg","Quartz","Quartz","Quartz","Rutile","Rutile","Rutile","Quartz","Siderite","Quartz","Quartz","Hillebrandite","Rutile","Rutile","Quartz","Rutile","Rutile","Quartz","Quartz","Quartz","Merwinite","Quartz","Siderite","Merwinite","Siderite","Siderite","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Magnetite","Hillebrandite","Merwinite","Siderite","Merwinite","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Rutile","Quartz","Quartz","Merwinite","Larnite","Quartz","Merwinite","Quartz","Ilmenite","Ilmenite","Larnite","Quartz","Ilmenite","Quartz","Rutile","Larnite","Quartz","Larnite","Merwinite","Quartz","Quartz","Merwinite","Rutile","Quartz","Merwinite","Smectite-low-Fe-Mg","Quartz","Quartz","Siderite","Siderite","Siderite","Hillebrandite","Quartz","Siderite","Smectite-low-Fe-Mg","Ilmenite","Rutile","Merwinite","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Rutile","Quartz","Rutile","Siderite","Ilmenite","Quartz","Ilmenite","Siderite"
"Smectite-high-Fe-Mg","Stilbite","Rutile","Rutile","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Rutile","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Rutile","Quartz","Smectite-high-Fe-Mg","Siderite","Siderite","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Rutile","Rutile","Quartz","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Quartz","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Rutile","Quartz","Quartz","Quartz","Smectite-low-Fe-Mg","Quartz","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Rutile","Smectite-high-Fe-Mg","Rutile","Rutile","Quartz","Quartz","Siderite","Quartz","Rutile","Quartz","Quartz","Quartz","Smectite-low-Fe-Mg","Quartz","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Quartz","Rutile","Quartz","Quartz","Siderite","Smectite-low-Fe-Mg","Quartz","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Quartz","Wairakite","Smectite-high-Fe-Mg","Rutile","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Quartz","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Quartz","Smectite-low-Fe-Mg","Quartz","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Rutile","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Siderite","Smectite-low-Fe-Mg","Siderite","Smectite-low-Fe-Mg","Siderite","Smectite-high-Fe-Mg","Quartz","Siderite","Quartz","Smectite-high-Fe-Mg"
"Wairakite","Wustite","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Stilbite","Stilbite","Wairakite","Stilbite","Smectite-low-Fe-Mg","Wairakite","Wustite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Wustite","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Wairakite","Wairakite","Wairakite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Wustite","Wairakite","Smectite-low-Fe-Mg","Stilbite","Wairakite","Wairakite","Wairakite","Wairakite","Stilbite","Wairakite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Smectite-high-Fe-Mg","Stilbite","Stilbite","Stilbite","Wairakite","Wairakite","Wairakite","Smectite-high-Fe-Mg","Wairakite","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Smectite-low-Fe-Mg","Stilbite","Wairakite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Wairakite","Smectite-high-Fe-Mg","Wairakite","Wairakite","Smectite-high-Fe-Mg","Wustite","Stilbite","Smectite-high-Fe-Mg","Wairakite","Wairakite","Stilbite","Smectite-high-Fe-Mg","Wustite","Wairakite","Wustite","Smectite-high-Fe-Mg","Stilbite","Smectite-high-Fe-Mg","Wairakite","Wairakite","Stilbite","Stilbite","Smectite-high-Fe-Mg","Wairakite","Wairakite","Smectite-high-Fe-Mg","Wairakite","Smectite-low-Fe-Mg","Stilbite","Smectite-high-Fe-Mg","Stilbite","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Wairakite"
