O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.424	0.081	0.077	0.449	1.009	0.022	0.3	0.024	0.192
3.279	0.176	0.109	0.355	1.017	0.074	0.222	0.04	0.167
3.099	0.092	0.12	0.378	1.012	0.048	0.16	0.059	0.037
2.928	0.074	0.112	0.167	1.075	0.022	0.179	0.034	0.091
3.037	0.077	0.154	0.384	0.93	0.016	0.253	0.023	0.089
2.738	0.113	0.12	0.276	0.876	0.005	0.252	0.016	0.091
3.411	0.063	0.18	0.315	1.086	0.026	0.196	0.029	0.203
2.983	0.087	0	0.454	0.941	0.068	0.072	0.026	0.15
3.092	0.068	0.104	0.392	1	0.038	0.257	0	0.067
2.998	0.08	0.118	0.348	0.926	0.03	0.128	0.025	0.201
2.992	0.105	0.045	0.454	0.905	0.029	0.176	0.051	0.096
3.072	0.122	0.166	0.273	0.976	0.054	0.234	0.011	0.155
2.774	0.07	0.087	0.341	0.874	0.028	0.113	0	0.182
3.13	0.168	0.196	0.297	1.046	0.006	0.208	0	0.089
3.011	0.053	0.102	0.379	0.936	0.018	0.14	0.005	0.267
3.305	0.082	0.151	0.453	0.925	0.059	0.169	0.037	0.256
2.948	0.045	0.096	0.239	0.966	0.054	0.322	0.049	0.09
2.743	0.077	0.045	0.261	1.015	0.046	0.153	0.013	0.03
3.25	0.044	0.092	0.295	1.026	0.028	0.271	0.022	0.251
3.107	0.119	0.231	0.321	1.049	0.016	0.075	0.031	0.089
2.895	0.116	0.111	0.263	1.021	0.035	0.051	0.025	0.134
2.792	0.079	0.143	0.298	0.901	0.043	0.303	0.018	0
3.11	0.115	0.164	0.334	0.941	0.043	0.148	0.008	0.229
2.761	0.092	0.094	0.349	0.933	0	0.173	0.002	0.038
2.757	0.105	0.134	0.246	0.954	0.062	0.121	0.023	0.076
2.764	0.125	0.103	0.198	1.001	0.049	0.164	0	0.087
3.044	0.006	0.226	0.278	1.023	0.03	0.09	0.025	0.14
3.038	0.034	0.12	0.4	1.031	0.02	0.091	0.013	0.101
2.84	0.013	0.066	0.374	1.01	0	0.181	0	0.005
3.275	0.08	0.08	0.369	1.01	0.054	0.173	0.018	0.319
3.216	0.115	0.132	0.447	1.012	0.043	0.201	0.036	0.034
3.094	0.146	0.116	0.173	1.037	0.006	0.177	0.038	0.222
3.22	0.077	0.11	0.438	1.004	0.032	0.153	0.007	0.166
2.706	0.055	0.122	0.291	0.91	0.043	0.232	0.024	0
