O	Na	Mg	Al	Si	K	Ca	Ti	Fe
2.829	0.071	0.132	0.351	0.883	0.05	0.109	0.015	0.164
3.264	0.089	0.059	0.315	1.009	0.019	0.303	0	0.252
3.008	0.114	0.044	0.381	0.937	0.059	0.101	0.031	0.203
3.135	0.069	0.251	0.398	0.915	0.029	0.129	0.049	0.146
3.133	0.161	0.193	0.209	0.972	0.035	0.206	0.001	0.342
3.072	0.114	0.067	0.316	0.982	0.031	0.152	0.026	0.244
3.029	0.051	0.035	0.382	0.96	0.013	0.258	0	0.158
2.615	0.088	0.02	0.269	0.96	0.016	0.17	0	0.043
3.09	0.151	0.101	0.383	1.023	0.046	0.111	0.008	0.136
2.864	0.087	0.084	0.252	0.975	0.035	0.133	0.034	0.156
3.442	0.158	0.218	0.409	0.947	0.056	0.215	0.028	0.239
2.935	0.04	0.034	0.298	0.982	0.031	0.229	0.017	0.146
3.317	0.123	0.225	0.398	0.921	0.038	0.186	0.009	0.256
3.031	0.14	0.228	0.324	0.961	0.04	0.147	0.036	0.075
2.943	0.135	0.088	0.351	0.93	0.067	0.237	0.028	0.051
2.996	0.067	0.024	0.357	0.987	0.04	0.152	0.034	0.183
2.991	0.007	0.057	0.248	0.994	0.067	0.023	0.045	0.346
2.992	0.096	0.152	0.407	0.935	0.057	0.114	0.018	0.121
2.856	0.045	0.067	0.318	0.927	0.032	0.179	0.013	0.197
3.049	0.126	0.052	0.416	1.022	0.072	0.118	0.005	0.096
3.189	0.061	0.172	0.318	1.028	0.029	0.157	0.023	0.169
2.786	0.125	0.063	0.293	0.848	0.036	0.23	0.011	0.246
3.045	0.066	0.023	0.353	0.911	0.017	0.238	0.04	0.215
3.173	0.116	0.076	0.383	1.022	0.037	0.162	0.03	0.172
3.023	0.09	0.11	0.353	0.915	0.038	0.218	0.022	0.167
2.771	0.055	0.116	0.23	0.976	0.016	0.065	0.012	0.231
2.979	0.115	0.125	0.428	0.967	0.036	0.202	0	0
2.79	0.098	0.128	0.322	0.952	0.002	0.121	0.011	0.058
3.156	0.102	0.144	0.355	0.964	0.042	0.188	0.026	0.235
2.683	0.095	0.092	0.236	0.982	0.056	0.189	0.005	0
2.743	0	0.107	0.221	1.043	0.026	0.146	0.003	0.05
3.176	0.086	0.078	0.368	1.11	0.014	0.145	0.007	0.103
3.262	0.158	0.099	0.265	1.1	0.023	0.052	0.022	0.259
2.971	0.084	0.174	0.294	0.929	0.054	0.142	0.008	0.201
3	0.094	0	0.376	1.048	0.051	0.208	0.002	0.039
2.819	0.088	0.128	0.377	0.962	0.013	0.1	0.009	0.023
3.268	0.149	0.126	0.274	0.969	0.039	0.201	0.021	0.356
2.999	0.089	0.108	0.368	0.902	0.033	0.194	0.027	0.187
2.904	0.077	0.171	0.262	0.964	0.062	0.198	0	0.132
3.198	0.068	0.154	0.282	1.004	0.051	0.234	0.04	0.175
3.18	0.112	0.123	0.38	0.97	0.054	0.176	0.03	0.207
2.817	0.098	0.097	0.208	0.969	0.032	0.198	0	0.147
2.98	0.089	0.107	0.334	0.948	0.039	0.065	0.023	0.218
2.974	0.06	0.193	0.432	0.956	0.019	0.03	0.02	0.095
2.764	0.044	0.094	0.361	0.845	0.05	0.204	0.032	0.114
3.118	0.093	0.17	0.346	0.953	0.066	0.207	0.012	0.176
2.903	0.015	0.093	0.239	0.954	0.038	0.167	0.026	0.204
3.157	0.098	0.137	0.252	0.968	0.034	0.199	0.053	0.227
2.956	0.083	0.211	0.267	0.953	0.053	0.197	0.017	0.108
2.66	0.128	0.06	0.356	0.891	0.015	0.175	0.005	0.019
2.948	0.057	0	0.371	0.984	0.026	0.255	0.007	0.085
3.042	0.063	0.161	0.399	0.946	0.051	0.19	0.016	0.092
2.985	0.028	0.13	0.442	1.042	0.015	0.025	0.005	0.038
2.95	0.088	0.102	0.423	0.972	0.047	0.15	0.024	0.004
2.827	0.092	0.05	0.368	0.934	0.038	0.156	0.012	0.098
2.982	0.09	0.029	0.429	0.986	0.047	0.088	0.015	0.103
2.778	0.097	0.085	0.343	0.914	0.023	0.194	0.004	0.073
3.01	0.079	0.217	0.425	0.893	0.034	0.223	0	0.064
3.099	0.04	0.114	0.407	0.953	0.049	0.18	0.024	0.172
3.23	0.116	0.058	0.391	1.003	0.046	0.158	0.018	0.208
2.928	0.066	0	0.323	1.035	0.006	0.216	0.001	0.086
3.102	0.104	0.14	0.278	1.033	0.049	0.221	0.043	0.085
3.127	0.06	0.121	0.403	0.9	0.049	0.233	0.027	0.183
3.264	0.067	0.094	0.35	0.983	0.08	0.176	0.035	0.252
3.05	0.147	0.046	0.352	1.037	0.049	0.176	0	0.117
3.393	0.062	0.107	0.398	1.003	0.022	0.252	0.005	0.266
2.857	0.034	0.2	0.236	0.993	0.039	0.182	0.005	0.075
2.763	0.121	0.054	0.313	0.947	0.065	0.136	0.009	0.07
3.138	0.149	0.108	0.399	1.006	0.053	0.062	0.009	0.179
2.768	0.028	0.047	0.299	0.993	0.019	0.055	0.009	0.161
2.912	0.034	0.059	0.325	0.965	0.051	0.183	0.013	0.179
3.316	0.084	0.106	0.438	1.004	0.068	0.233	0.001	0.169
3.064	0.085	0.171	0.364	0.97	0.042	0.143	0	0.15
3.071	0.086	0.079	0.373	1.039	0.02	0.256	0.016	0.012
3.286	0.056	0.093	0.359	0.981	0.038	0.311	0.005	0.246
3.021	0.121	0.162	0.369	0.954	0.038	0.121	0.007	0.164
2.999	0.165	0.117	0.296	0.947	0.057	0.131	0.052	0.172
3.119	0.055	0.08	0.328	0.961	0.063	0.129	0.024	0.294
2.89	0.165	0.057	0.385	0.948	0.027	0.151	0	0.106
2.824	0.099	0.151	0.216	0.988	0.041	0.155	0.024	0.092
3.199	0.039	0.232	0.329	0.93	0.031	0.344	0.032	0.122
3.157	0.035	0.146	0.481	1.002	0.051	0.119	0	0.122
2.95	0.121	0.073	0.271	1.015	0.046	0.22	0	0.118
2.849	0	0.132	0.296	0.937	0.044	0.196	0.027	0.125
2.948	0.132	0.242	0.211	0.963	0.036	0.224	0.028	0.073
2.839	0.107	0.171	0.322	0.915	0.02	0.106	0.042	0.076
3.197	0.076	0.042	0.353	1.047	0.049	0.133	0.021	0.24
2.883	0.053	0.06	0.268	0.998	0.029	0.244	0	0.136
2.981	0.149	0.087	0.274	1.086	0.014	0.071	0.017	0.11
2.882	0.067	0.026	0.301	0.989	0.058	0.241	0.027	0.052
2.695	0.096	0.089	0.233	0.98	0.044	0.17	0	0.05
2.979	0.108	0.075	0.359	0.965	0.041	0.139	0	0.179
3.029	0.134	0.029	0.323	0.991	0.028	0.249	0.006	0.141
3.185	0.072	0.144	0.356	0.962	0.014	0.154	0.041	0.229
3.288	0.004	0.109	0.46	1.036	0.046	0.099	0.046	0.177
3.134	0.077	0.049	0.361	0.991	0.042	0.25	0.002	0.235
2.828	0.049	0.103	0.32	0.869	0.04	0.178	0.037	0.15
2.723	0.061	0.017	0.325	0.924	0.055	0.223	0	0.076
3.023	0.079	0.091	0.356	0.972	0.035	0.136	0.006	0.17
3.076	0.067	0.171	0.288	0.991	0.026	0.124	0.027	0.22
2.829	0	0.059	0.266	0.98	0.009	0.155	0.033	0.159
3.111	0.177	0.111	0.306	0.975	0.03	0.125	0.023	0.219
3.307	0.135	0.178	0.321	1.021	0.063	0.195	0.009	0.229
3.174	0.069	0.163	0.343	1.061	0.062	0.161	0.009	0.1
3.02	0.09	0.222	0.398	0.968	0.027	0.103	0.011	0.068
2.848	0.029	0.107	0.251	0.982	0.03	0.274	0.029	0.031
3.121	0.025	0.057	0.209	1.011	0.064	0.195	0.014	0.382
2.908	0.1	0.145	0.222	1.013	0.043	0.206	0.033	0.056
3.279	0.159	0.131	0.34	1.003	0.038	0.296	0.028	0.138
3.262	0.059	0.046	0.417	1.019	0.066	0.204	0.007	0.267
3.317	0.092	0.147	0.437	1.028	0.052	0.279	0.009	0.074
3.035	0.065	0.124	0.359	0.944	0.037	0.248	0.006	0.142
3.339	0.082	0.112	0.435	1.035	0.05	0.23	0.037	0.12
2.98	0.051	0.095	0.435	1.008	0.048	0.097	0.023	0.019
2.988	0.067	0.076	0.32	0.979	0.027	0.229	0	0.137
3.071	0.091	0.057	0.327	1.012	0.026	0.126	0.001	0.217
2.904	0	0.108	0.355	0.95	0.023	0.267	0	0.057
3.219	0.127	0.08	0.313	1.089	0.047	0.196	0	0.143
2.832	0.123	0.168	0.254	0.953	0.042	0.24	0.027	0
2.736	0.069	0.125	0.313	0.975	0.034	0.07	0.004	0.054
3.177	0.093	0	0.327	1.017	0.032	0.353	0.032	0.116
2.989	0.131	0.062	0.289	1.056	0.052	0.155	0.016	0.102
3.178	0.092	0.115	0.317	0.971	0.059	0.266	0.012	0.257
2.73	0.139	0.003	0.268	1.02	0.051	0.116	0.012	0.037
2.933	0.045	0.188	0.297	0.918	0.039	0.072	0.028	0.279
3.247	0.074	0.117	0.267	1.057	0.045	0.202	0	0.267
2.732	0.099	0.116	0.337	0.901	0.045	0.196	0.011	0.018
2.993	0.118	0.141	0.424	0.857	0.043	0.099	0.017	0.217
3.263	0.101	0.138	0.312	1.073	0.044	0.191	0.026	0.163
2.761	0.094	0.02	0.356	0.894	0.068	0.304	0.017	0
3.164	0.064	0.07	0.453	0.998	0.032	0.165	0.008	0.144
3.095	0.115	0.066	0.351	1.016	0.005	0.154	0	0.201
3.041	0.176	0.125	0.369	0.981	0.046	0.17	0	0.083
3.02	0.115	0.202	0.275	0.938	0.047	0.192	0.043	0.15
3.388	0.07	0.263	0.394	1.04	0.023	0.175	0.019	0.136
3.276	0.19	0.133	0.381	1.032	0.033	0.189	0	0.174
3.191	0.053	0.095	0.365	0.996	0.039	0.225	0.031	0.212
2.743	0.014	0.122	0.35	0.893	0.058	0.157	0.006	0.092
2.683	0.062	0.137	0.261	0.924	0.028	0.06	0.044	0.114
2.871	0.096	0.095	0.318	0.998	0.043	0.149	0.001	0.071
2.761	0.066	0.11	0.294	0.962	0.034	0.162	0.037	0
3.006	0.12	0.18	0.321	0.954	0.027	0.247	0.014	0.078
2.956	0.047	0.101	0.334	0.942	0.03	0.159	0.026	0.164
2.963	0.051	0.12	0.245	0.943	0.028	0.161	0.052	0.26
3.109	0.117	0.081	0.322	1.017	0.039	0.248	0.02	0.12
2.657	0.125	0.086	0.347	0.93	0.042	0.052	0	0.046
2.921	0.109	0.111	0.336	0.977	0.059	0.151	0	0.102
3.124	0.079	0.089	0.425	1.01	0.046	0.031	0.041	0.152
3.006	0.106	0.012	0.463	1.037	0.03	0.132	0.011	0.001
3.027	0.115	0.136	0.353	0.934	0.029	0.143	0.004	0.191
3.164	0.034	0.105	0.244	1.001	0.028	0.381	0	0.201
3.242	0.159	0.136	0.329	1.029	0.02	0.311	0.024	0.106
3.173	0.018	0.092	0.422	0.977	0.045	0.151	0.019	0.252
3.093	0.116	0.111	0.331	0.981	0.015	0.096	0	0.262
3.233	0.112	0.155	0.336	0.99	0.076	0.158	0.049	0.191
3.046	0.079	0.129	0.248	1.051	0.067	0.096	0.024	0.204
3.361	0.053	0.137	0.434	1.01	0.045	0.219	0.023	0.171
3.202	0.079	0.167	0.389	0.96	0.036	0.244	0.02	0.161
3.085	0.111	0.105	0.394	0.974	0.02	0.2	0.026	0.094
3.2	0.117	0.139	0.294	1.001	0.015	0.188	0.024	0.217
2.861	0.148	0.053	0.21	1.02	0.036	0.197	0	0.115
2.86	0.041	0.065	0.275	0.97	0.054	0.16	0	0.179
2.652	0.064	0.18	0.259	0.928	0.048	0.157	0.007	0
2.942	0.114	0.047	0.289	0.948	0.032	0.222	0.04	0.16
3.383	0.11	0.135	0.41	1.028	0.028	0.232	0	0.186
2.648	0.039	0.089	0.289	0.853	0.023	0.158	0.007	0.19
3.311	0.1	0.175	0.49	0.946	0.043	0.11	0.024	0.242
3.013	0.104	0.129	0.352	0.94	0.042	0.157	0.034	0.155
3.406	0.182	0.067	0.348	1.04	0.03	0.288	0	0.245
2.911	0.037	0.131	0.294	0.925	0.027	0.129	0	0.265
2.79	0.053	0.146	0.25	0.976	0.018	0.082	0	0.181
2.734	0.102	0.113	0.2	0.926	0.051	0.124	0.03	0.156
3.197	0.114	0.217	0.33	0.964	0.04	0.258	0.022	0.136
3.479	0.075	0.11	0.451	1.032	0.034	0.211	0.069	0.155
3.065	0.182	0.152	0.264	0.953	0.048	0.079	0.003	0.319
3.05	0.11	0.134	0.338	0.978	0.058	0.15	0.032	0.147
3.318	0.046	0.148	0.325	1.004	0.052	0.352	0.035	0.142
2.729	0.078	0.038	0.386	0.985	0.038	0.068	0.008	0
3.124	0.012	0.157	0.415	0.919	0.04	0.202	0	0.19
3.032	0.06	0.031	0.321	1.049	0.063	0.204	0	0.114
3.084	0.134	0.162	0.252	1.041	0.03	0.199	0.013	0.121
3.056	0.131	0.188	0.427	0.93	0.044	0.064	0	0.181
3.1	0.11	0.124	0.311	1.049	0.032	0.115	0.015	0.136
3.005	0.1	0.078	0.333	0.933	0.049	0.204	0.002	0.216
2.806	0.09	0.154	0.248	0.932	0.005	0.157	0	0.148
2.877	0.015	0.082	0.446	0.944	0.022	0.149	0.011	0.038
3.336	0.117	0.14	0.375	0.972	0.034	0.229	0.034	0.228
3.214	0.087	0.061	0.332	1.083	0.036	0.19	0	0.186
3.041	0.107	0.171	0.332	0.962	0.033	0.124	0.034	0.135
3.043	0.067	0.127	0.301	0.994	0.031	0.257	0.02	0.105
2.867	0.096	0.093	0.38	0.87	0.015	0.221	0	0.16
2.962	0.03	0.147	0.337	0.909	0.045	0.203	0.013	0.177
3.247	0.056	0.084	0.331	1.115	0.06	0.159	0.049	0.12
3.13	0.179	0.176	0.377	0.925	0.024	0.229	0	0.142
2.963	0.118	0.177	0.429	0.943	0.033	0.135	0	0.035
3.008	0.033	0.116	0.343	1.043	0.018	0.174	0.022	0.042
3.195	0.108	0.099	0.499	0.923	0.051	0.16	0.045	0.122
3.254	0.081	0.16	0.271	1.047	0.043	0.234	0.026	0.181
2.909	0.111	0.125	0.313	0.901	0.057	0.225	0.017	0.14
2.721	0.091	0.113	0.327	0.91	0.019	0.156	0	0.08
2.683	0.032	0.045	0.308	0.932	0.043	0.111	0.022	0.103
2.874	0.105	0.192	0.368	0.959	0.032	0.026	0.006	0.099
3.051	0.04	0.103	0.329	1.003	0.061	0.129	0.024	0.18
3.093	0.056	0.053	0.359	1.054	0.058	0.208	0	0.107
3.359	0.179	0.115	0.458	1.038	0.023	0.193	0.055	0.066
2.89	0.062	0.138	0.308	0.907	0.043	0.224	0.012	0.149
3.139	0.051	0.152	0.342	0.979	0.042	0.305	0	0.163
3.16	0.115	0.193	0.263	1.035	0	0.234	0.032	0.137
3.044	0.105	0.196	0.338	0.995	0.071	0.112	0.031	0.08
2.847	0.074	0.176	0.303	0.926	0.055	0.025	0.007	0.237
2.893	0.074	0.247	0.258	0.95	0.028	0.152	0.034	0.072
3.335	0.04	0.053	0.446	1.036	0.018	0.181	0.031	0.203
3.261	0.089	0.165	0.33	1.009	0.012	0.267	0.027	0.169
3.054	0.136	0.159	0.38	0.957	0.034	0.196	0	0.094
2.734	0.112	0.031	0.257	0.964	0.056	0.111	0.013	0.116
2.977	0.102	0.146	0.321	0.962	0.048	0.081	0	0.232
2.877	0.121	0.053	0.387	0.993	0.029	0	0.006	0.169
2.699	0.048	0.122	0.36	0.856	0.023	0.087	0	0.192
2.916	0.11	0.075	0.275	0.995	0.056	0.259	0.005	0.076
3.155	0.049	0.078	0.487	0.998	0.039	0.089	0.001	0.179
3.221	0.074	0.048	0.405	1.072	0.043	0.098	0.003	0.255
3.07	0.104	0.111	0.385	0.902	0.06	0.236	0.026	0.163
3.122	0.062	0.205	0.402	1.049	0.053	0.158	0	0
3.348	0.09	0.115	0.438	0.974	0.056	0.165	0.019	0.294
2.929	0.106	0.094	0.277	0.938	0.041	0.17	0.034	0.171
3.096	0.079	0.1	0.475	0.956	0.027	0.27	0.024	0
3.047	0.056	0.103	0.39	0.981	0.026	0.211	0.014	0.08
3.174	0.129	0.107	0.349	1.039	0.054	0.245	0.001	0.095
3.269	0.076	0.142	0.401	1.043	0.047	0.216	0	0.131
2.811	0.077	0.082	0.25	0.995	0.018	0.125	0.002	0.133
3.036	0.085	0.111	0.401	0.992	0.018	0.047	0.022	0.167
2.704	0.085	0.053	0.347	0.925	0.046	0.083	0.015	0.096
2.72	0	0.108	0.313	0.947	0.06	0.164	0.018	0.017
2.686	0.052	0.127	0.189	0.957	0.018	0.096	0	0.173
3.094	0.018	0.136	0.32	1.037	0.051	0.206	0.019	0.099
2.976	0.153	0.103	0.269	1.033	0.054	0.146	0.012	0.123
3.112	0.109	0.098	0.375	1.039	0.036	0.088	0.052	0.078
3.169	0.079	0.056	0.404	0.991	0.054	0.18	0.005	0.233
2.918	0.052	0.124	0.239	0.952	0.034	0.161	0.021	0.2
3.471	0.074	0.077	0.493	0.96	0.022	0.233	0.015	0.305
2.933	0.122	0.117	0.326	0.944	0.049	0.254	0	0.081
3.259	0.032	0.134	0.436	1.043	0.063	0.08	0.033	0.181
2.886	0.127	0.112	0.381	0.923	0.028	0.137	0.023	0.092
2.886	0.086	0.044	0.455	0.936	0.04	0.17	0.002	0.049
3.293	0.036	0.071	0.312	1.04	0.046	0.283	0	0.253
3.006	0.094	0.045	0.355	0.951	0.031	0.256	0.014	0.143
2.779	0.02	0.117	0.234	0.917	0.045	0.115	0.016	0.204
3.311	0.114	0.14	0.303	1.097	0.055	0.17	0.012	0.176
2.924	0.1	0.124	0.277	0.978	0.07	0.256	0.003	0.059
2.884	0.069	0	0.385	0.97	0.036	0.266	0.024	0
3.077	0.081	0.115	0.359	1.021	0.011	0.18	0	0.141
3.007	0.091	0.18	0.211	0.935	0.054	0.16	0.007	0.341
3.067	0.101	0.134	0.338	0.932	0.046	0.109	0.024	0.269
3.045	0.083	0.192	0.363	1	0.041	0.109	0	0.093
2.849	0.144	0.076	0.348	0.88	0.031	0.165	0	0.218
2.809	0.088	0.147	0.31	0.877	0.049	0.19	0.008	0.117
2.948	0.049	0.11	0.282	0.928	0.04	0.206	0.033	0.171
3.168	0.056	0.052	0.423	0.944	0.006	0.269	0.028	0.16
3.058	0.088	0.166	0.361	0.98	0.048	0.113	0	0.169
2.777	0.098	0	0.297	0.938	0.044	0.271	0.007	0.088
3.068	0.041	0.112	0.26	1.019	0.014	0.257	0.022	0.176
3.094	0.137	0.117	0.261	1.012	0.041	0.211	0.017	0.197
3.178	0.084	0.113	0.368	1.015	0.025	0.097	0	0.243
3.354	0.165	0.134	0.274	1.035	0.044	0.302	0.027	0.231
2.68	0.049	0.002	0.108	1.078	0.037	0.055	0	0.209
3.269	0.105	0.109	0.274	1.103	0.033	0.169	0.005	0.276
3.082	0.1	0.075	0.395	1.006	0.064	0.103	0.014	0.155
3.28	0.068	0.196	0.278	1.067	0.04	0.281	0.032	0.12
2.95	0.11	0.148	0.263	1.004	0.057	0.137	0	0.146
2.879	0.085	0.109	0.284	0.976	0.045	0.152	0.03	0.085
2.762	0.075	0.015	0.247	0.984	0.054	0.248	0	0.095
3.183	0.038	0.201	0.448	0.923	0.036	0.208	0.029	0.14
3.119	0.113	0.154	0.222	1.009	0.044	0.297	0	0.168
3.144	0.07	0.189	0.251	0.925	0.036	0.27	0.016	0.258
2.98	0.052	0.126	0.247	0.97	0.029	0.297	0	0.178
3.006	0.046	0.107	0.357	0.961	0.061	0.22	0.047	0.061
3.155	0.114	0.178	0.23	0.996	0.057	0.313	0.039	0.154
2.756	0.085	0.053	0.328	0.876	0.017	0.224	0.032	0.098
2.774	0.12	0.091	0.266	0.924	0.042	0.143	0.014	0.178
3.207	0.103	0.136	0.304	0.992	0.034	0.249	0.028	0.185
3.017	0.145	0.171	0.312	0.914	0.035	0.167	0.016	0.181
2.836	0.081	0.032	0.311	0.969	0.066	0.29	0	0.027
3.26	0.098	0.064	0.523	1.009	0.025	0.097	0.025	0.161
3.096	0.085	0.138	0.293	1.021	0.043	0.127	0.003	0.26
3.394	0.026	0.2	0.455	0.957	0.026	0.206	0	0.257
3.249	0.117	0.106	0.372	1.006	0.069	0.268	0.033	0.136
2.942	0.055	0.111	0.387	1.02	0.01	0.161	0.008	0
2.961	0.063	0.134	0.215	1.064	0.045	0.184	0.027	0.078
2.993	0.066	0	0.33	0.981	0.047	0.259	0.012	0.164
2.868	0.064	0.201	0.326	0.96	0.038	0.098	0.029	0.043
3.117	0.127	0.116	0.356	0.983	0.029	0.229	0	0.138
2.831	0.03	0.159	0.249	0.994	0.033	0.101	0.031	0.086
2.94	0.053	0.111	0.469	0.915	0.026	0.029	0.013	0.15
3.607	0.101	0.138	0.505	1.03	0.019	0.179	0.017	0.294
2.893	0.116	0.069	0.266	0.968	0.026	0.1	0.044	0.199
3.135	0.062	0.072	0.402	0.983	0.034	0.115	0.008	0.228
3.152	0.058	0.08	0.397	1.023	0.052	0.268	0.022	0.06
3.279	0.072	0.146	0.45	0.963	0.025	0.341	0.016	0.109
2.769	0.143	0.107	0.269	0.899	0.03	0.147	0.018	0.134
2.979	0.019	0.196	0.366	0.904	0.007	0.233	0.013	0.138
3.048	0.104	0.108	0.29	1.01	0.025	0.176	0.041	0.126
3.206	0.059	0.169	0.383	0.969	0.013	0.245	0	0.174
3.093	0.094	0.161	0.456	0.918	0.021	0.173	0.018	0.098
3.195	0.101	0.141	0.368	1.09	0.025	0.169	0	0.078
3.248	0.013	0.07	0.357	0.95	0.049	0.317	0.003	0.299
2.76	0.031	0.122	0.292	0.984	0.04	0.068	0	0.093
3.193	0.029	0.106	0.358	1.02	0	0.262	0.031	0.137
3.421	0.126	0.15	0.424	1.009	0.015	0.224	0	0.265
3.229	0.121	0.147	0.285	1.014	0.051	0.24	0.021	0.188
3.165	0.104	0.084	0.434	0.993	0.031	0.184	0.017	0.13
2.76	0.08	0.103	0.305	0.898	0.008	0.16	0.015	0.162
2.867	0.072	0.115	0.25	0.932	0.052	0.273	0.011	0.156
2.613	0.115	0.084	0.279	0.933	0.042	0.129	0.019	0
2.675	0.082	0.1	0.24	0.949	0.073	0.129	0	0.092
2.914	0.036	0.208	0.333	0.946	0.025	0.051	0.031	0.155
3.001	0.056	0.134	0.418	0.894	0.049	0.18	0.038	0.126
2.888	0.094	0.189	0.306	0.961	0.018	0.192	0	0.053
3.13	0.137	0.196	0.34	0.971	0.062	0.196	0	0.178
3.224	0.102	0.089	0.374	1.038	0.037	0.225	0.03	0.108
2.839	0.032	0.1	0.292	0.987	0.025	0.127	0.019	0.124
3.16	0.094	0.154	0.387	0.98	0.035	0.127	0.013	0.172
3.27	0.09	0.098	0.448	1.042	0.024	0.202	0	0.144
3.174	0.11	0.158	0.304	0.998	0.049	0.278	0.003	0.147
3.16	0.016	0.118	0.374	1	0.034	0.185	0.042	0.158
3	0.022	0.103	0.359	0.97	0.049	0.072	0.025	0.225
2.974	0.079	0.187	0.184	1.004	0.027	0.126	0.035	0.25
2.98	0.041	0.129	0.37	0.982	0.028	0.158	0.035	0.051
3.427	0.103	0.148	0.345	1.067	0.035	0.197	0	0.302
3.006	0.021	0.129	0.309	1.097	0.032	0.087	0.017	0.051
3.188	0.138	0.085	0.368	0.995	0.053	0.25	0.018	0.125
3.075	0.11	0.086	0.37	1.013	0.031	0.113	0.015	0.189
3.031	0.054	0.079	0.441	0.969	0.052	0.299	0	0
3.114	0.118	0.193	0.289	1.046	0.042	0.178	0	0.129
3.237	0.116	0.123	0.352	1.001	0.029	0.103	0.033	0.243
3.21	0.012	0.181	0.486	0.976	0.054	0.177	0	0.097
2.966	0.081	0.06	0.31	0.883	0.063	0.08	0.045	0.294
3.356	0.064	0.136	0.325	1.026	0.02	0.294	0.057	0.162
3.253	0.042	0.114	0.487	1.002	0.063	0.092	0.015	0.162
2.93	0.148	0.139	0.383	0.972	0.059	0.086	0.011	0.043
3.255	0.09	0.15	0.355	1.018	0.033	0.272	0.013	0.121
3.222	0.094	0.196	0.32	0.905	0.051	0.296	0.03	0.221
2.901	0.088	0.132	0.208	1.022	0.032	0.166	0.005	0.14
3.043	0.037	0.152	0.312	1.047	0.049	0.147	0.013	0.102
2.779	0.011	0.049	0.295	0.93	0.041	0.156	0.028	0.168
2.708	0.131	0.102	0.3	0.928	0.059	0.093	0	0.087
3.062	0.141	0.171	0.287	0.974	0.035	0.13	0.026	0.196
2.921	0.094	0.039	0.331	1.024	0.009	0.209	0	0.063
3.067	0.072	0.184	0.285	0.95	0.043	0.314	0.044	0.066
3.067	0.089	0.086	0.259	0.913	0.032	0.34	0.035	0.207
3.079	0.185	0.179	0.252	0.942	0.04	0.147	0.046	0.245
2.981	0.027	0.134	0.374	0.932	0.05	0.147	0.032	0.144
2.962	0.075	0.122	0.332	0.924	0.039	0.288	0.017	0.078
2.828	0.106	0.076	0.442	0.911	0.004	0.123	0.019	0.038
3.08	0.096	0.171	0.37	0.952	0.042	0.146	0.009	0.147
3.095	0.131	0.179	0.226	1.091	0.039	0.122	0	0.161
2.998	0.073	0.053	0.344	0.971	0.041	0.147	0.004	0.212
3.165	0.15	0.099	0.315	0.969	0.034	0.217	0.013	0.22
3.467	0.067	0.116	0.461	1.014	0.051	0.234	0.039	0.24
3.02	0.063	0.15	0.333	1.019	0.021	0.151	0.021	0.087
3.037	0.032	0.075	0.434	0.991	0.007	0.207	0.012	0.062
3.223	0.152	0.126	0.419	1.033	0.038	0.21	0.016	0.057
3.058	0.144	0.245	0.334	0.95	0.021	0.206	0.022	0.077
2.744	0.075	0.12	0.327	0.903	0.046	0.149	0.013	0.091
2.915	0.111	0.068	0.349	0.997	0.037	0.235	0.006	0.009
2.976	0.127	0.076	0.34	0.974	0.027	0.116	0	0.178
3.375	0.131	0.076	0.381	1.026	0.041	0.211	0.029	0.22
3.002	0.082	0.08	0.331	0.928	0.053	0.207	0.027	0.176
3.343	0.074	0.159	0.415	1.012	0.042	0.136	0.038	0.203
3.01	0.119	0.107	0.281	0.986	0.022	0.165	0.029	0.209
3.174	0.016	0.109	0.291	1.017	0.026	0.27	0	0.255
2.906	0.078	0.231	0.255	0.957	0.071	0.165	0.016	0.095
3.063	0.166	0.115	0.428	0.953	0.039	0.14	0	0.113
2.944	0.062	0.094	0.2	0.994	0.034	0.178	0.017	0.224
2.944	0.12	0.153	0.239	0.92	0.026	0.149	0.016	0.277
2.72	0.109	0.091	0.324	0.913	0.045	0.178	0.005	0.049
3.024	0.122	0.091	0.322	1.057	0.036	0.11	0.039	0.063
2.826	0.071	0.052	0.3	0.952	0.038	0.146	0	0.175
3.159	0.101	0.055	0.487	1.005	0.044	0.132	0.008	0.132
2.881	0.088	0.068	0.335	0.95	0.048	0.212	0.025	0.073
2.964	0.074	0.076	0.328	0.999	0.018	0.24	0.019	0.056
3.089	0.103	0.085	0.391	1.028	0.044	0.119	0.023	0.093
3.157	0.087	0.101	0.408	1.049	0.035	0.167	0	0.085
2.872	0.125	0.058	0.309	0.938	0.04	0.172	0	0.192
3.482	0.034	0.147	0.506	0.969	0.021	0.227	0.027	0.228
2.88	0.052	0.083	0.295	0.974	0.072	0.189	0.008	0.126
3.022	0.06	0.082	0.278	1	0.052	0.306	0.005	0.116
3.086	0.146	0.098	0.3	0.955	0.027	0.244	0.035	0.172
2.902	0.005	0.169	0.35	0.902	0.039	0.167	0.001	0.16
3.408	0.096	0.054	0.538	1.005	0.052	0.295	0	0.152
2.571	0.027	0.052	0.187	1.003	0.04	0.155	0.005	0.028
3.211	0.068	0.188	0.411	0.982	0.039	0.134	0.022	0.153
3.159	0.073	0.189	0.383	0.972	0.032	0.135	0.044	0.168
3.03	0.116	0.095	0.318	1.014	0.042	0.141	0.001	0.185
3.081	0.058	0.163	0.325	0.918	0.045	0.231	0	0.216
