"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite","Acmite"
"Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite"
"Clinoptilolite_Ca","Hillebrandite","Hematite","Goethite","Clinoptilolite_K","Clinoptilolite_K","FeO(s)","Clinoptilolite_K","Clinoptilolite_K","Clinoptilolite_K","Clinoptilolite_K","Clinoptilolite_Ca","Ferrihydrite(am)","Clinoptilolite_K","Ferryhydrite","Clinoptilolite_K","Ferryhydrite","Goethite","Ferryhydrite","Clinoptilolite_K","Clinoptilolite_K","Chabazite","Clinoptilolite_K","Chabazite","Clinoptilolite_K","Hillebrandite","Clinoptilolite_Ca","Chabazite","Clinoptilolite_K","Chabazite","Chabazite","Hillebrandite","Clinoptilolite_Ca","Clinoptilolite_K","Chabazite","Hillebrandite","Heulandite_Ca","Hillebrandite","Clinoptilolite_K","Fe(OH)2(cr)","Clinoptilolite_K","Chabazite","Heulandite_Ca","Clinoptilolite_Ca","Heulandite_Ca","Clinoptilolite_K","Ferryhydrite","Clinoptilolite_K","Fe(OH)2(cr)","Chabazite","Clinoptilolite_Ca","Hillebrandite","Chabazite","Clinoptilolite_K","Chabazite","Clinoptilolite_K","Clinoptilolite_K","Chabazite","Clinoptilolite_K","Clinoptilolite_K","FeO(s)","Clinoptilolite_K","Goethite","Chabazite","Clinoptilolite_K","Hillebrandite","Clinoptilolite_Ca","Clinoptilolite_K","Ferrihydrite(am)","Clinoptilolite_K","Clinoptilolite_K","Chabazite","Hillebrandite","Clinoptilolite_K","Clinoptilolite_K","Hillebrandite","Hillebrandite","Hillebrandite","Hillebrandite","Goethite","Clinoptilolite_K","Fe(OH)2(cr)","Clinoptilolite_K","Chabazite","Clinoptilolite_K","Clinoptilolite_Ca","Clinoptilolite_K","Goethite","Chabazite","Clinoptilolite_K","Goethite","Clinoptilolite_Ca","Hillebrandite","Clinoptilolite_K","Clinoptilolite_Ca","Ferryhydrite","Goethite","Clinoptilolite_Ca","Clinoptilolite_K","Chabazite"
"Clinoptilolite_K","Magnetite","Hillebrandite","Hillebrandite","Goethite","Hillebrandite","Hillebrandite","Hematite","Hematite","Goethite","Hillebrandite","Clinoptilolite_K","Hillebrandite","Ferrihydrite(am)","Hillebrandite","Hillebrandite","Hillebrandite","Hillebrandite","Hillebrandite","Goethite","Hillebrandite","Goethite","Hillebrandite","Hillebrandite","Goethite","Magnetite","Clinoptilolite_K","Ferryhydrite","Hillebrandite","Clinoptilolite_K","Clinoptilolite_K","Lepidocrocite","Clinoptilolite_K","Goethite","FeO(s)","Phillipsite_Ca","Hillebrandite","Lepidocrocite","FeO(s)","Heulandite_Ca","Hillebrandite","Hematite","Hillebrandite","Hillebrandite","Hillebrandite","Hillebrandite","Hillebrandite","Ferrihydrite(am)","Hillebrandite","Hillebrandite","Clinoptilolite_K","HSaponite-FeK","Clinoptilolite_K","Hematite","Clinoptilolite_K","Goethite","Heulandite_Ca","FeO(s)","FeO(s)","Hillebrandite","Hillebrandite","Hematite","Heulandite_Ca","Hillebrandite","Hillebrandite","Magnetite","Fe(OH)2(cr)","Hillebrandite","Hillebrandite","Hillebrandite","Fe(OH)2(cr)","Clinoptilolite_K","HSaponite-FeNa","Hillebrandite","Hillebrandite","Maghemite(ord)","Maghemite(ord)","Maghemite(disord)","Magnetite","Heulandite_Ca","Hillebrandite","Hillebrandite","Heulandite_Ca","Clinoptilolite_K","Ferryhydrite","Ferrihydrite(am)","Hillebrandite","Heulandite_Ca","FeO(s)","Hillebrandite","Hillebrandite","Clinoptilolite_K","HSaponite-FeNa","Ferrihydrite(am)","Hillebrandite","Hillebrandite","Hillebrandite","Clinoptilolite_K","Fe(OH)2(cr)","FeO(s)"
"Hematite","Phillipsite_K","HSaponite-FeNa","Phillipsite_K","Hillebrandite","Quartz","Phillipsite_K","Hillebrandite","Hillebrandite","Hillebrandite","Lepidocrocite","Ferryhydrite","Phillipsite_Ca","Hillebrandite","HSaponite-FeNa","Maghemite(ord)","HSaponite-FeK","HSaponite-FeK","HSaponite-FeNa","Hillebrandite","HSaponite-FeK","Hillebrandite","Maghemite(ord)","HSaponite-FeK","Hillebrandite","Phillipsite_K","Hillebrandite","Hillebrandite","HSaponite-FeCa","Hillebrandite","Goethite","Phillipsite_K","FeO(s)","Hillebrandite","Hillebrandite","Phillipsite_K","Maghemite(disord)","Phillipsite_K","Hillebrandite","Hillebrandite","HSaponite-FeNa","Hillebrandite","HSaponite-FeK","HSaponite-FeNa","HSaponite-FeK","Maghemite(disord)","Phillipsite_K","Hillebrandite","Phillipsite_K","HSaponite-FeK","Hematite","Maghemite(ord)","Hillebrandite","Hillebrandite","Ferrihydrite(am)","Hillebrandite","Hillebrandite","Hillebrandite","Hillebrandite","Phillipsite_Ca","HSaponite-FeMg","Hillebrandite","Hillebrandite","Phillipsite_K","HSaponite-FeMg","Phillipsite_K","Hillebrandite","Lepidocrocite","HSaponite-FeK","Magnetite","Heulandite_Ca","Hillebrandite","Maghemite(ord)","Maghemite(ord)","Maghemite(ord)","Phillipsite_K","Phillipsite_K","Phillipsite_K","Phillipsite_Ca","Hillebrandite","HSaponite-FeNa","HSaponite-FeCa","Hillebrandite","Ferryhydrite","Hillebrandite","Hillebrandite","Maghemite(ord)","Hillebrandite","Hillebrandite","HSaponite-FeCa","HSaponite-FeNa","Ferryhydrite","Maghemite(disord)","Hillebrandite","HSaponite-FeMg","Phillipsite_K","Phillipsite_K","Hillebrandite","Hillebrandite","Hillebrandite"
"Hillebrandite","Quartz","Phillipsite_K","Quartz","Quartz","Saponite-FeMg","Quartz","HSaponite-FeNa","HSaponite-FeMg","HSaponite-FeK","Phillipsite_Ca","Hillebrandite","Phillipsite_K","HSaponite-FeMg","Phillipsite_K","Quartz","Phillipsite_K","Phillipsite_K","Phillipsite_K","HSaponite-FeK","Magnetite","Phillipsite_K","Phillipsite_Ca","Maghemite(disord)","Quartz","Quartz","HSaponite-FeMg","HSaponite-FeNa","Maghemite(ord)","HSaponite-FeCa","Hillebrandite","Quartz","Hillebrandite","HSaponite-FeK","HSaponite-FeK","Quartz","Phillipsite_K","Quartz","Quartz","HSaponite-FeK","Quartz","HSaponite-FeMg","Maghemite(ord)","Phillipsite_K","Magnetite","Quartz","Quartz","Quartz","Quartz","Maghemite(ord)","Hillebrandite","Phillipsite_Ca","HSaponite-FeNa","HSaponite-FeK","Hillebrandite","Quartz","Lepidocrocite","HSaponite-FeCa","Quartz","Quartz","Phillipsite_K","HSaponite-FeK","HSaponite-FeCa","Quartz","Lepidocrocite","Quartz","HSaponite-FeK","Quartz","Phillipsite_K","Quartz","Hillebrandite","HSaponite-FeK","Phillipsite_K","Phillipsite_Ca","Phillipsite_Ca","Quartz","Quartz","Quartz","Phillipsite_K","HSaponite-FeNa","Quartz","Phillipsite_Ca","HSaponite-FeK","Hillebrandite","Phillipsite_Ca","HSaponite-FeCa","Phillipsite_Ca","Phillipsite_K","Phillipsite_K","Maghemite(ord)","Phillipsite_K","Hillebrandite","Phillipsite_K","Phillipsite_Ca","Magnetite","Quartz","Quartz","HSaponite-FeNa","Quartz","Phillipsite_K"
"Quartz","Saponite-FeK","Quartz","Saponite-FeNa","Saponite-FeNa","Siderite","Saponite-FeNa","Quartz","Quartz","Phillipsite_Ca","Quartz","Quartz","Quartz","Quartz","Quartz","Saponite-FeNa","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Phillipsite_K","Saponite-FeCa","Saponite-FeMg","Maghemite(ord)","Phillipsite_K","Quartz","Quartz","Quartz","Saponite-FeNa","Quartz","Quartz","Phillipsite_K","Saponite-FeNa","Quartz","Saponite-FeNa","Saponite-FeK","Phillipsite_K","Siderite","Phillipsite_K","Phillipsite_K","Quartz","Phillipsite_K","Saponite-FeNa","Saponite-FeCa","Saponite-FeCa","Saponite-FeK","Phillipsite_K","HSaponite-FeK","Phillipsite_K","Maghemite(disord)","Phillipsite_Ca","Quartz","Saponite-FeK","Quartz","Phillipsite_K","Saponite-FeMg","Saponite-FeMg","Quartz","Quartz","Phillipsite_K","Saponite-FeCa","Quartz","Saponite-FeMg","Phillipsite_K","Saponite-FeNa","Quartz","Saponite-FeNa","HSaponite-FeMg","Magnetite","Quartz","Quartz","Quartz","Saponite-FeK","Saponite-FeMg","Saponite-FeCa","Quartz","Phillipsite_K","Siderite","Phillipsite_K","Maghemite(disord)","Quartz","Quartz","Phillipsite_K","Quartz","Quartz","Quartz","Quartz","Quartz","HSaponite-FeMg","Quartz","Quartz","Phillipsite_K","Saponite-FeK","Saponite-FeNa","Lepidocrocite","Saponite-FeCa","Quartz"
"Saponite-FeNa","Stilbite","Wairakite","Wairakite","Wairakite","Wairakite","Stilbite","Stilbite","Stellerite","Quartz","Saponite-FeMg","Saponite-FeMg","Saponite-FeNa","Stilbite","Stilbite","Stilbite","Wairakite","Stilbite","Stellerite","Stellerite","Wairakite","Saponite-FeNa","Saponite-FeNa","Quartz","Stilbite","Stellerite","Quartz","Quartz","Stilbite","Siderite","Saponite-FeMg","Stilbite","Saponite-FeCa","Stilbite","Quartz","Siderite","Saponite-FeNa","Stilbite","Stellerite","Quartz","Stilbite","Quartz","Quartz","Siderite","Quartz","Stilbite","Stilbite","Stilbite","Wairakite","Quartz","Quartz","Quartz","Quartz","Quartz","Saponite-FeK","Stilbite","Saponite-FeCa","Quartz","Stilbite","Siderite","Stilbite","Stellerite","Quartz","Siderite","Stilbite","Wairakite","Quartz","Stilbite","Stellerite","Stilbite","Quartz","Quartz","Wairakite","Saponite-FeCa","Saponite-FeCa","Stilbite","Wairakite","Wairakite","Saponite-FeCa","Quartz","Stilbite","Quartz","Quartz","Saponite-FeCa","Saponite-FeMg","Quartz","Saponite-FeNa","Saponite-FeCa","Saponite-FeCa","Stilbite","Stellerite","Quartz","Stellerite","Saponite-FeCa","Quartz","Wairakite","Stilbite","Quartz","Stellerite","Saponite-FeCa"
