"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"calcite","calcite","calcite","calcite","calcite","calcite","calcite","acmite","acmite","acmite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","acmite","calcite","calcite","acmite","calcite","acmite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","acmite","calcite","calcite","calcite","calcite","calcite","acmite","acmite","calcite","acmite","calcite","calcite","acmite","calcite","calcite","acmite","calcite","acmite","acmite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","acmite","calcite","acmite","calcite","acmite","acmite","calcite","calcite","calcite","calcite","calcite","acmite","calcite","acmite","acmite","calcite","calcite","calcite","acmite","acmite","calcite","calcite","calcite","calcite","calcite","calcite","calcite","acmite","acmite","acmite","calcite","acmite","calcite","calcite","calcite","calcite","acmite","calcite","calcite"
"clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","calcite","calcite","calcite","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","calcite","clptil-K","clptil-K","calcite","clptil-K","calcite","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","calcite","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","calcite","calcite","clptil-K","calcite","clptil-K","clptil-K","calcite","clptil-K","clptil-K","calcite","clptil-K","calcite","calcite","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","calcite","clptil-K","calcite","clptil-K","calcite","calcite","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","calcite","clptil-K","calcite","calcite","clptil-K","clptil-K","clptil-K","calcite","calcite","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","clptil-K","calcite","calcite","calcite","clptil-K","calcite","clptil-K","clptil-K","clptil-K","clptil-K","calcite","clptil-K","clptil-K"
"goethite-ox","glauc-Fe","larnite","Fe-oxide","merwinit","glauc-Fe","Fe-oxide","clptil-K","clptil-K","clptil-K","glauc-Fe","hematite","glauc-Fe","glauc-Fe","glauc-Fe","heulandi","glauc-Fe","clptil-K","heulandi","goethite","clptil-K","glauc-Fe","clptil-K","glauc-Fe","glauc-Fe","glauc-Fe","Fe-oxide","glauc-Fe","larnite","hematite","heulandi","clptil-K","hematite","glauc-Fe","glauc-Fe","magnetit","glauc-Fe","clptil-K","clptil-K","Fe-oxide","clptil-K","glauc-Fe","goethite-ox","clptil-K","glauc-Fe","Fe-oxide","clptil-K","glauc-Fe","clptil-K","clptil-K","goethite-ox","glauc-Fe","larnite","Fe-oxide","glauc-Fe","glauc-Fe","Fe-oxide","hematite","Fe-oxide","larnite","larnite","clptil-K","magnetit","clptil-K","glauc-Fe","clptil-K","clptil-K","glauc-Fe","goethite-ox","goethite-ox","hematite","Fe-oxide","clptil-K","glauc-Fe","clptil-K","clptil-K","glauc-Fe","heulandi","goethite-ox","clptil-K","clptil-K","glauc-Fe","Fe-oxide","goethite","glauc-Fe","glauc-Fe","glauc-Fe","goethite-ox","clptil-K","clptil-K","clptil-K","heulandi","clptil-K","goethite","goethite-ox","goethite","larnite","clptil-K","Fe-oxide","glauc-Fe"
"merwinit","hematite","quartz","glauc-Fe","quartz","heulandi","glauc-Fe","Fe-oxide","larnite","Fe-oxide","larnite","merwinit","larnite","goethite-ox","magnetit","merwinit","goethite","Fe-oxide","larnite","merwinit","hematite","larnite","larnite","goethite","merwinit","goethite","glauc-Fe","heulandi","quartz","heulandi","magnetit","Fe-oxide","heulandi","hematite","goethite-ox","merwinit","goethite","larnite","goethite","heulandi","Fe-oxide","goethite-ox","heulandi","goethite-ox","hematite","glauc-Fe","goethite-ox","hematite","hematite","hematite","larnite","larnite","magnetit","merwinit","merwinit","hematite","glauc-Fe","heulandi","heulandi","quartz","quartz","hematite","merwinit","heulandi","larnite","goethite","goethite-ox","hematite","larnite","heulandi","merwinit","glauc-Fe","merwinit","merwinit","goethite","Fe-oxide","merwinit","larnite","larnite","larnite","larnite","goethite","heulandi","larnite","heulandi","magnetit","magnetit","merwinit","hematite","goethite-ox","larnite","larnite","Fe-oxide","merwinit","larnite","merwinit","magnetit","merwinit","merwinit","goethite-ox"
"quartz","heulandi","riebecki","merwinit","riebecki","larnite","larnite","heulandi","magnetit","heulandi","magnetit","quartz","quartz","larnite","merwinit","quartz","merwinit","heulandi","quartz","quartz","merwinit","quartz","magnetit","larnite","quartz","heulandi","merwinit","larnite","riebecki","larnite","merwinit","merwinit","larnite","merwinit","heulandi","quartz","larnite","magnetit","heulandi","merwinit","merwinit","heulandi","merwinit","merwinit","larnite","merwinit","merwinit","merwinit","larnite","merwinit","quartz","magnetit","quartz","quartz","quartz","merwinit","merwinit","merwinit","larnite","riebecki","riebecki","heulandi","quartz","larnite","magnetit","heulandi","heulandi","larnite","quartz","larnite","quartz","larnite","quartz","quartz","heulandi","heulandi","quartz","magnetit","quartz","quartz","magnetit","heulandi","larnite","quartz","larnite","merwinit","merwinit","quartz","heulandi","merwinit","magnetit","quartz","merwinit","quartz","quartz","quartz","quartz","quartz","quartz","larnite"
"riebecki","merwinit","siderite","quartz","siderite","quartz","quartz","merwinit","quartz","larnite","quartz","riebecki","siderite","quartz","quartz","riebecki","quartz","larnite","riebecki","riebecki","quartz","siderite","quartz","quartz","siderite","larnite","quartz","quartz","siderite","quartz","quartz","quartz","quartz","quartz","merwinit","riebecki","quartz","quartz","larnite","quartz","quartz","larnite","quartz","quartz","quartz","quartz","quartz","quartz","quartz","quartz","riebecki","quartz","riebecki","riebecki","siderite","quartz","quartz","quartz","quartz","siderite","siderite","larnite","riebecki","magnetit","quartz","merwinit","larnite","quartz","riebecki","quartz","riebecki","quartz","siderite","siderite","merwinit","merwinit","siderite","quartz","riebecki","siderite","quartz","larnite","quartz","riebecki","magnetit","quartz","quartz","riebecki","merwinit","quartz","quartz","riebecki","quartz","riebecki","riebecki","riebecki","riebecki","siderite","riebecki","quartz"
"stilbite","quartz","wairakit","stilbite","stilbite","siderite","wairakit","quartz","wairakit","quartz","stilbite","stilbite","stilbite","wairakit","wairakit","siderite","wairakit","quartz","siderite","stilbite","wairakit","wairakit","wairakit","wairakit","stilbite","quartz","stilbite","siderite","wairakit","riebecki","riebecki","wairakit","riebecki","stilbite","quartz","wairakit","stilbite","stilbite","quartz","riebecki","wairakit","quartz","riebecki","stilbite","stilbite","wairakit","stilbite","stilbite","stilbite","stilbite","wairakit","stilbite","wairakit","wairakit","stilbite","wairakit","stilbite","riebecki","riebecki","stilbite","stilbite","quartz","stilbite","quartz","wairakit","quartz","quartz","wairakit","wairakit","riebecki","stilbite","stilbite","wairakit","stilbite","quartz","quartz","stilbite","riebecki","stilbite","wairakit","stilbite","quartz","riebecki","stilbite","quartz","wairakit","wairakit","wairakit","quartz","stilbite","wairakit","siderite","wairakit","wairakit","wairakit","stilbite","wairakit","stilbite","stilbite","stilbite"
