"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Calcite","Calcite","Bellite_(C2S)","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Bellite_(C2S)","Bellite_(C2S)","Calcite","Bellite_(C2S)","Calcite","Calcite","Calcite","Bellite_(C2S)","Calcite","Calcite","Calcite","Calcite","Bellite_(C2S)","Bellite_(C2S)","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Bellite_(C2S)","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Bellite_(C2S)","Bellite_(C2S)","Bellite_(C2S)","Calcite","Calcite","Calcite","Bellite_(C2S)","Calcite","Bellite_(C2S)","Bellite_(C2S)","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Bellite_(C2S)","Calcite","Bellite_(C2S)","Calcite","Calcite","Calcite","Calcite","Calcite","Bellite_(C2S)","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Bellite_(C2S)","Calcite"
"Erionite","Erionite","Calcite","Clinoptilolite-K","goethite","Erionite","Erionite","Fe(OH)2","Fe(OH)2","Clinoptilolite-K","Erionite","Erionite","Calcite","Calcite","Clinoptilolite-Ca","Calcite","Chabazite","Chabazite","Clinoptilolite-K","Calcite","Fe(OH)2","Clinoptilolite-K","Clinoptilolite-K","Erionite","Calcite","Calcite","Erionite","Chabazite","Chabazite","Clinoptilolite-K","Magnetite","Clinoptilolite-Ca","Hillebrandite","Erionite","Chabazite","Fe(OH)2","Larnite","Chabazite","Erionite","Clinoptilolite-K","Clinoptilolite-K","Hematite","Chabazite","Calcite","Erionite","Erionite","Fe(OH)3","Erionite","Clinoptilolite-K","Clinoptilolite-K","Calcite","Calcite","Calcite","Erionite","Clinoptilolite-K","Erionite","Calcite","Clinoptilolite-K","Calcite","Calcite","Larnite","Fe(OH)2","Chabazite","Clinoptilolite-K","Clinoptilolite-K","Clinoptilolite-Ca","Chabazite","Clinoptilolite-K","Chabazite","Clinoptilolite-K","Calcite","Erionite","Calcite","Clinoptilolite-K","Chabazite","Chabazite","Erionite","Chabazite","Calcite","Chabazite","Chabazite","Clinoptilolite-Ca","Clinoptilolite-K","Hematite","Chabazite","Clinoptilolite-K","Erionite","Clinoptilolite-Ca","Erionite","Erionite","Clinoptilolite-K","Erionite","Clinoptilolite-Ca","Hillebrandite","Clinoptilolite-K","Clinoptilolite-Ca","Hillebrandite","Hematite","Calcite","Erionite"
"Fe(OH)3","FeO","Clinoptilolite-Ca","Larnite","Merwinite","Hillebrandite","Merwinite","Larnite","Merwinite","Erionite","Merwinite","Fe(OH)3","Clinoptilolite-K","Clinoptilolite-Ca","Erionite","Clinoptilolite-K","FeO","Erionite","Larnite","Erionite","Merwinite","Hematite","Fe(OH)2","Hematite","Clinoptilolite-Ca","Clinoptilolite-Ca","Fe(OH)2","Erionite","Erionite","Fe(OH)3","Merwinite","Erionite","Phillipsite","Hematite","Erionite","Merwinite","Phillipsite","Fe(OH)3","goethite","FeO","Erionite","Merwinite","Erionite","Chabazite","Fe(OH)2","Merwinite","Hillebrandite","FeO","Larnite","Fe(OH)3","Clinoptilolite-K","Clinoptilolite-Ca","Chabazite","Larnite","Larnite","Hillebrandite","Clinoptilolite-Ca","FeO","Erionite","Erionite","Magnetite","Larnite","Fe(OH)3","Larnite","FeO","Larnite","Erionite","Merwinite","Hillebrandite","Merwinite","Chabazite","Magnetite","Erionite","Fe(OH)3","Erionite","Erionite","Magnetite","Erionite","Chabazite","Erionite","Hematite","Fe(OH)2","FeO","Merwinite","Erionite","FeO","FeO","Clinoptilolite-K","Hematite","Hillebrandite","Erionite","Hillebrandite","Erionite","Magnetite","FeO","Clinoptilolite-K","Phillipsite","Merwinite","Clinoptilolite-K","Fe(OH)3"
"Merwinite","Larnite","Erionite","Quartz","Phillipsite","Quartz","Quartz","Phillipsite","Phillipsite","Hematite","Quartz","Hillebrandite","Magnetite","Erionite","FeO","FeO","Hillebrandite","Hematite","Magnetite","Fe(OH)2","Phillipsite","Larnite","Merwinite","Larnite","Erionite","Clinoptilolite-K","Merwinite","Fe(OH)2","Fe(OH)3","Larnite","Phillipsite","Fe(OH)3","Quartz","Larnite","Merwinite","Phillipsite","Quartz","Merwinite","Hillebrandite","Merwinite","Hillebrandite","Phillipsite","goethite","FeO","Hillebrandite","Phillipsite","Phillipsite","Larnite","Phillipsite","Merwinite","Quartz","Erionite","Erionite","Quartz","Magnetite","Quartz","FeO","Hillebrandite","goethite","Quartz","Phillipsite","Phillipsite","Larnite","Quartz","Larnite","Phillipsite","Larnite","Quartz","Phillipsite","Quartz","Erionite","Merwinite","Quartz","Larnite","goethite","goethite","Merwinite","FeO","Clinoptilolite-K","Fe(OH)3","Larnite","Larnite","Merwinite","Phillipsite","FeO","Hillebrandite","Merwinite","Hematite","Merwinite","Magnetite","Fe(OH)2","Magnetite","Larnite","Phillipsite","Merwinite","Larnite","Quartz","Phillipsite","Erionite","Merwinite"
"Quartz","Quartz","Quartz","Smectite-low-Fe-Mg","Quartz","Siderite","Siderite","Quartz","Quartz","Hillebrandite","Smectite-low-Fe-Mg","Quartz","Phillipsite","Quartz","Merwinite","Phillipsite","Phillipsite","Hillebrandite","Quartz","Phillipsite","Quartz","Quartz","Quartz","Quartz","Quartz","Fe(OH)3","Quartz","Hillebrandite","Hillebrandite","Quartz","Quartz","Hillebrandite","Siderite","Quartz","Quartz","Quartz","Smectite-high-Fe-Mg","Phillipsite","Quartz","Quartz","Quartz","Quartz","Larnite","Phillipsite","Phillipsite","Quartz","Quartz","Phillipsite","Quartz","Quartz","Siderite","Quartz","Quartz","Smectite-high-Fe-Mg","Quartz","Siderite","Phillipsite","Quartz","Phillipsite","Smectite-low-Fe-Mg","Quartz","Quartz","Phillipsite","Smectite_Reykjanes","Quartz","Quartz","Quartz","Smectite-high-Fe-Mg","Quartz","Siderite","Hematite","Quartz","Siderite","Phillipsite","Larnite","Merwinite","Quartz","Larnite","goethite","Larnite","Phillipsite","Phillipsite","Phillipsite","Quartz","Larnite","Quartz","Quartz","Merwinite","Quartz","Quartz","Hillebrandite","Phillipsite","Magnetite","Quartz","Quartz","Magnetite","Siderite","Quartz","Quartz","Quartz"
"Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Siderite","Stellerite","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite_Reykjanes","Quartz","Wairakite","Smectite_Reykjanes","Quartz","Siderite","Quartz","Quartz","Quartz","Quartz","Smectite_Reykjanes","Quartz","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Siderite","Quartz","Smectite-low-Fe-Mg","Quartz","Quartz","Smectite_Reykjanes","Smectite-low-Fe-Mg","Quartz","Smectite_Reykjanes","Smectite_Reykjanes","Siderite","Smectite_Reykjanes","Stilbite","Quartz","Smectite_Reykjanes","Smectite-low-Fe-Mg","Siderite","Smectite-low-Fe-Mg","Quartz","Quartz","Quartz","Siderite","Smectite-low-Fe-Mg","Quartz","Siderite","Smectite-low-Fe-Mg","Smectite_Reykjanes","Siderite","Smectite-high-Fe-Mg","Wairakite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Quartz","Smectite_Reykjanes","Quartz","Stilbite","Smectite_Reykjanes","Smectite-high-Fe-Mg","Quartz","Stilbite","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Wairakite","Smectite_Reykjanes","Smectite_Reykjanes","Quartz","Smectite-high-Fe-Mg","Smectite_Reykjanes","Quartz","Quartz","Quartz","Smectite-high-Fe-Mg","Quartz","Quartz","Quartz","Quartz","Quartz","Quartz","Smectite-high-Fe-Mg","Quartz","Smectite_Reykjanes","Smectite_Reykjanes","Quartz","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Quartz","Quartz","Quartz","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Quartz","Smectite-high-Fe-Mg","Smectite_Reykjanes","Siderite","Smectite-high-Fe-Mg"
"","Wairakite","Smectite-high-Fe-Mg","Wustite","Stilbite","Wairakite","Wairakite","Stellerite","","Smectite_Reykjanes","Wustite","","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Stilbite","Smectite-high-Fe-Mg","Stellerite","Stellerite","Wairakite","","Smectite-high-Fe-Mg","Smectite-low-Fe-Mg","Stellerite","Smectite_Reykjanes","Smectite-high-Fe-Mg","Stilbite","Wairakite","Smectite_Reykjanes","","Stellerite","Smectite-low-Fe-Mg","Stellerite","Wustite","Smectite_Reykjanes","Wairakite","Wairakite","Smectite-high-Fe-Mg","Stellerite","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","Wairakite","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Wairakite","Wairakite","Smectite-low-Fe-Mg","Wustite","Wustite","Stilbite","","Smectite-low-Fe-Mg","Wairakite","Smectite-low-Fe-Mg","Wustite","Stellerite","Stellerite","Smectite-high-Fe-Mg","Wustite","Wairakite","Wustite","Wustite","Wustite","Wustite","Stilbite","Smectite_Reykjanes","","Wairakite","Smectite_Reykjanes","Smectite-low-Fe-Mg","Smectite_Reykjanes","","Smectite-low-Fe-Mg","Smectite_Reykjanes","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite-high-Fe-Mg","Smectite_Reykjanes","","Smectite-low-Fe-Mg","Stilbite","Wairakite","Smectite-high-Fe-Mg","Wairakite","","Smectite-low-Fe-Mg","Smectite-low-Fe-Mg","Smectite-high-Fe-Mg","Stellerite","Wairakite","Smectite-low-Fe-Mg","Wairakite","Wairakite","Smectite-low-Fe-Mg",""
