"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Calcite","Calcite","Calcite","Aegerine(alpha)","Aegerine(alpha)","Calcite","Calcite","Aegerine(alpha)","Aegerine(alpha)","Calcite","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Aegerine(alpha)","Calcite","Aegerine(alpha)","Calcite","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Aegerine(alpha)","Aegerine(alpha)","Calcite","Aegerine(alpha)","Calcite","Aegerine(alpha)","Aegerine(alpha)","Calcite","Calcite","Calcite","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Calcite","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Calcite","Calcite","Calcite","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Aegerine(alpha)","Aegerine(alpha)","Calcite","Calcite","Aegerine(alpha)","Calcite","Aegerine(alpha)","Calcite","Calcite","Calcite","Calcite","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Calcite","Calcite","Calcite","Aegerine(alpha)","Aegerine(alpha)","Aegerine(alpha)","Calcite","Calcite","Calcite","Aegerine(alpha)","Aegerine(alpha)","Calcite","Aegerine(alpha)","Aegerine(alpha)","Calcite","Aegerine(alpha)","Calcite","Aegerine(alpha)"
"Calcite","Calcite","Calcite","Calcite","Clinoptilolite(K)","Clinoptilolite(K)","Clinoptilolite(K)","Clinoptilolite(Ca)","Calcite","Calcite","Clinoptilolite(K)","Clinoptilolite(Ca)","Calcite","Calcite","Ilmenite","Calcite","Calcite","Calcite","Clinoptilolite(Ca)","Calcite","Calcite","Calcite","Calcite","Calcite","Ilmenite","Calcite","Clinoptilolite(K)","Calcite","Clinoptilolite(K)","Calcite","Calcite","Calcite","Clinoptilolite(K)","Calcite","Calcite","Goethite","Calcite","Heulandite(Ca)","Calcite","Calcite","Clinoptilolite(Ca)","Larnite(alpha)","Hillebrandite","Calcite","Calcite","Calcite","Chabazite","Clinoptilolite(K)","Calcite","Calcite","Calcite","Calcite","Clinoptilolite(K)","Clinoptilolite(K)","Hematite","Clinoptilolite(K)","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Calcite","Clinoptilolite(K)","Calcite","Calcite","Chabazite","Clinoptilolite(K)","Calcite","Chabazite","Calcite","Goethite","Ferrihydrite(2L)","Clinoptilolite(K)","Chabazite","Calcite","Calcite","Calcite","Calcite","Chabazite","Clinoptilolite(K)","Chabazite","Ferrihydrite(2L)","Calcite","Calcite","Calcite","Clinoptilolite(K)","Clinoptilolite(K)","Clinoptilolite(K)","Calcite","Calcite","Larnite(beta)","Calcite","Calcite","Heulandite(Ca)","Calcite","Fe(OH)2","Calcite"
"Larnite(gamma)","Clinoptilolite(K)","Clinoptilolite(K)","Larnite(beta)","Ferrihydrite(2L)","Fe(OH)2","Ilmenite","Ferrihydrite(2L)","Ferrihydrite(2L)","Clinoptilolite(K)","FeO","Fe(OH)2","Ferrihydrite(6L)","Clinoptilolite(K)","Magnetite","Clinoptilolite(K)","Clinoptilolite(Ca)","Ilmenite","Fe(OH)2","Chabazite","Clinoptilolite(Ca)","Larnite(beta)","Clinoptilolite(K)","Clinoptilolite(Ca)","Maghemite(disordered)","Clinoptilolite(K)","FeO","Heulandite(Ca)","Hematite","Clinoptilolite(K)","Fe(OH)2","FeO","Hematite","Heulandite(Ca)","Goethite","Larnite(alpha)","Clinoptilolite(Ca)","Hillebrandite","Clinoptilolite(K)","Ferrihydrite(2L)","Clinoptilolite(K)","Magnetite","Magnetite","Clinoptilolite(K)","Heulandite(Ca)","Clinoptilolite(K)","Clinoptilolite(K)","Ilmenite","Fe(OH)2","Clinoptilolite(Ca)","Clinoptilolite(K)","Clinoptilolite(Ca)","Magnetite(am)","Fe(OH)2","Heulandite(Ca)","FeO","Fe(OH)2","Clinoptilolite(K)","Clinoptilolite(K)","Clinoptilolite(K)","Clinoptilolite(K)","Clinoptilolite(K)","Hematite","Larnite(alpha)","Ferrihydrite(2L)","Hillebrandite","Clinoptilolite(K)","Clinoptilolite(Ca)","Clinoptilolite(K)","Ilmenite","Clinoptilolite(K)","Clinoptilolite(K)","Clinoptilolite(K)","Ilmenite","Hillebrandite","Hillebrandite","Clinoptilolite(K)","Clinoptilolite(K)","Clinoptilolite(Ca)","Ferrihydrite(2L)","Clinoptilolite(K)","Hematite","Ferrihydrite(2L)","Clinoptilolite(K)","Merwinite","Clinoptilolite(K)","Hematite","Ferrihydrite(6L)","Fe(OH)2","Ferrihydrite(2L)","Ferrihydrite(6L)","Clinoptilolite(Ca)","Ferrihydrite(2L)","Magnetite(am)","Clinoptilolite(K)","Clinoptilolite(K)","Ilmenite","Ferrihydrite(6L)","Heulandite(Ca)","Larnite(gamma)"
"Maghemite(disordered)","Ferrihydrite(2L)","Ferrihydrite(2L)","Maghemite(disordered)","Merwinite","Hillebrandite","Larnite(alpha)","Larnite(gamma)","Ilmenite","Magnetite","Larnite(beta)","Ilmenite","Ilmenite","Ferrihydrite(6L)","Merwinite","Hematite","FeO","Larnite(gamma)","Larnite(alpha)","Larnite(alpha)","Clinoptilolite(K)","Phillipsite(K)","Goethite","Clinoptilolite(K)","Merwinite","Hematite","Hillebrandite","Magnetite","Larnite(beta)","Larnite(alpha)","Ilmenite","Heulandite(Ca)","Larnite(gamma)","Larnite(alpha)","Ilmenite","Phillipsite(K)","Ilmenite","Ilmenite","Hematite","Hillebrandite","Hillebrandite","Phillipsite(K)","Phillipsite(Ca)","Heulandite(Ca)","Larnite(beta)","Ilmenite","Magnetite","Larnite(alpha)","Ilmenite","Clinoptilolite(K)","Fe(OH)2","Clinoptilolite(K)","Merwinite","Heulandite(Ca)","Hillebrandite","Ilmenite","Hillebrandite","Hematite","FeO","Goethite","Ilmenite","Hematite","Hillebrandite","Magnetite(am)","Ilmenite","Quartz(alpha)","Heulandite(Ca)","Clinoptilolite(K)","Hillebrandite","Larnite(gamma)","Ferrihydrite(2L)","FeO","Ilmenite","Merwinite","Phillipsite(Ca)","Magnetite(am)","Larnite(beta)","Goethite","Hematite","Ilmenite","Goethite","Merwinite","Ilmenite","Ilmenite","Phillipsite(K)","Ferrihydrite(6L)","Larnite(beta)","Larnite(gamma)","Larnite(beta)","Ilmenite","Hillebrandite","Larnite(alpha)","Merwinite","Phillipsite(K)","FeO","Ferrihydrite(2L)","Larnite(alpha)","Hillebrandite","Ilmenite","Maghemite(disordered)"
"Phillipsite(K)","Merwinite","Ilmenite","Phillipsite(K)","Quartz(alpha)","Quartz(alpha)","Magnetite(am)","Phillipsite(K)","Larnite(gamma)","Merwinite","Quartz(alpha)","Larnite(alpha)","Larnite(beta)","Larnite(beta)","Phillipsite(K)","Larnite(alpha)","Ilmenite","Maghemite(disordered)","Phillipsite(K)","Phillipsite(K)","FeO","Quartz(alpha)","Larnite(beta)","Hematite","Phillipsite(K)","Larnite(alpha)","Ilmenite","Merwinite","Quartz(alpha)","Maghemite(disordered)","Merwinite","Larnite(beta)","Quartz(alpha)","Magnetite(am)","Larnite(beta)","Quartz(alpha)","Larnite(gamma)","Maghemite(disordered)","Larnite(gamma)","Phillipsite(K)","Ilmenite","Quartz(alpha)","Phillipsite(K)","Merwinite","Maghemite(disordered)","Larnite(beta)","Merwinite","Magnetite","Larnite(gamma)","Larnite(alpha)","Larnite(gamma)","Goethite","Quartz(alpha)","Larnite(gamma)","Phillipsite(K)","Larnite(gamma)","Phillipsite(K)","Ilmenite","Hillebrandite","Merwinite","Larnite(alpha)","Larnite(beta)","Phillipsite(K)","Phillipsite(K)","Larnite(gamma)","Riebeckite","Hillebrandite","Larnite(gamma)","Quartz(alpha)","Magnetite(am)","Hillebrandite","Hillebrandite","Larnite(beta)","Phillipsite(K)","Phillipsite(K)","Quartz(alpha)","Magnetite","Heulandite(Ca)","Ilmenite","Merwinite","Heulandite(Ca)","Phillipsite(K)","Merwinite","Magnetite","Quartz(alpha)","Larnite(beta)","Phillipsite(K)","Phillipsite(K)","Quartz(alpha)","Larnite(beta)","Quartz(alpha)","Phillipsite(K)","Phillipsite(Ca)","Quartz(alpha)","Heulandite(Ca)","Larnite(beta)","Phillipsite(K)","Phillipsite(K)","Larnite(beta)","Phillipsite(K)"
"Quartz(alpha)","Quartz(alpha)","Larnite(alpha)","Quartz(alpha)","Riebeckite","Riebeckite","Quartz(alpha)","Quartz(alpha)","Phillipsite(K)","Quartz(alpha)","Riebeckite","Phillipsite(K)","Phillipsite(K)","Phillipsite(Ca)","Quartz(alpha)","Quartz(alpha)","Larnite(alpha)","Phillipsite(K)","Quartz(alpha)","Quartz(alpha)","Merwinite","Rutile","Quartz(alpha)","Hillebrandite","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Phillipsite(K)","Riebeckite","Phillipsite(Ca)","Phillipsite(K)","Phillipsite(K)","Riebeckite","Phillipsite(K)","Phillipsite(K)","Riebeckite","Phillipsite(K)","Phillipsite(K)","Phillipsite(Ca)","Quartz(alpha)","Maghemite(disordered)","Riebeckite","Quartz(alpha)","Quartz(alpha)","Phillipsite(K)","Magnetite(am)","Quartz(alpha)","Quartz(alpha)","Phillipsite(K)","Maghemite(disordered)","Quartz(alpha)","Ilmenite","Riebeckite","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Larnite(alpha)","Phillipsite(Ca)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Phillipsite(K)","Saponite(FeNa)","Quartz(alpha)","Magnetite","Riebeckite","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Riebeckite","Quartz(alpha)","Larnite(beta)","Merwinite","Phillipsite(K)","Ilmenite","Quartz(alpha)","Phillipsite(Ca)","Merwinite","Riebeckite","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Riebeckite","Quartz(alpha)","Riebeckite","Quartz(alpha)","Phillipsite(K)","Riebeckite","Larnite(beta)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Phillipsite(K)","Quartz(alpha)"
"Rutile","Rutile","Phillipsite(Ca)","Rutile","Rutile","Rutile","Riebeckite","Riebeckite","Quartz(alpha)","Rutile","Saponite(FeNa)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Riebeckite","Saponite(FeK)","Phillipsite(K)","Quartz(alpha)","Riebeckite","Rutile","Quartz(alpha)","Saponite(FeK)","Rutile","Quartz(alpha)","Riebeckite","Saponite(FeNa)","Riebeckite","Quartz(alpha)","Saponite(FeMg)","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Saponite(FeNa)","Quartz(alpha)","Quartz(alpha)","Rutile","Quartz(alpha)","Quartz(alpha)","Quartz(alpha)","Rutile","Quartz(alpha)","Saponite(FeMg)","Riebeckite","Rutile","Quartz(alpha)","Quartz(alpha)","Riebeckite","Riebeckite","Quartz(alpha)","Quartz(alpha)","Saponite(FeNa)","Larnite(beta)","Saponite(FeK)","Riebeckite","Riebeckite","Riebeckite","Saponite(FeMg)","Phillipsite(Ca)","Quartz(alpha)","Rutile","Saponite(FeNa)","Saponite(FeMg)","Rutile","Rutile","Quartz(alpha)","Siderite","Saponite(FeNa)","Quartz(alpha)","Saponite(FeCa)","Riebeckite","Saponite(FeCa)","Riebeckite","Saponite(FeNa)","Riebeckite","Riebeckite","Saponite(FeCa)","Riebeckite","Quartz(alpha)","Phillipsite(K)","Quartz(alpha)","Larnite(alpha)","Riebeckite","Quartz(alpha)","Quartz(alpha)","Rutile","Saponite(FeK)","Rutile","Saponite(FeNa)","Rutile","Riebeckite","Rutile","Rutile","Quartz(alpha)","Rutile","Quartz(alpha)","Saponite(FeK)","Riebeckite","Saponite(FeCa)","Quartz(alpha)","Rutile"
"Saponite(FeK)","Saponite(FeMg)","Quartz(alpha)","Saponite(FeCa)","Saponite(FeK)","Saponite(FeNa)","Saponite(FeK)","Saponite(FeK)","Saponite(FeK)","Saponite(FeK)","Stilbite","Riebeckite","Saponite(FeK)","Saponite(FeMg)","Saponite(FeMg)","Stilbite","Quartz(alpha)","Saponite(FeMg)","Rutile","Saponite(FeNa)","Rutile","Stellerite","Saponite(FeK)","Saponite(FeNa)","Saponite(FeNa)","Ulvospinel","Saponite(FeK)","Saponite(FeCa)","Stilbite","Rutile","Saponite(FeK)","Saponite(FeNa)","Stilbite","Rutile","Saponite(FeMg)","Saponite(FeCa)","Saponite(FeCa)","Riebeckite","Saponite(FeMg)","Saponite(FeCa)","Riebeckite","Stilbite","Rutile","Saponite(FeK)","Saponite(FeK)","Saponite(FeMg)","Rutile","Saponite(FeCa)","Saponite(FeMg)","Rutile","Stilbite","Quartz(alpha)","Stilbite","Saponite(FeMg)","Saponite(FeMg)","Saponite(FeMg)","Stellerite","Quartz(alpha)","Saponite(FeK)","Saponite(FeCa)","Stellerite","Stellerite","Saponite(FeCa)","Saponite(FeNa)","Saponite(FeMg)","Ulvospinel","Ulvospinel","Saponite(FeK)","Ulvospinel","Saponite(FeNa)","Stellerite","Rutile","Stellerite","Saponite(FeCa)","Rutile","Stilbite","Rutile","Rutile","Quartz(alpha)","Saponite(FeK)","Quartz(alpha)","Rutile","Riebeckite","Riebeckite","Saponite(FeCa)","Stilbite","Saponite(FeMg)","Ulvospinel","Saponite(FeK)","Saponite(FeCa)","Saponite(FeCa)","Saponite(FeK)","Saponite(FeMg)","Saponite(FeK)","Rutile","Stellerite","Saponite(FeCa)","Ulvospinel","Riebeckite","Saponite(FeMg)"
"Stilbite","Stellerite","Saponite(FeCa)","Stellerite","Stilbite","Stilbite","Stilbite","Ulvospinel","Wairakite","Stellerite","Ulvospinel","Saponite(FeNa)","Wairakite","Ulvospinel","Stilbite","Ulvospinel","Saponite(FeNa)","Stilbite","Saponite(FeNa)","Siderite","Saponite(FeK)","Wustite","Stilbite","Ulvospinel","Stilbite","Wairakite","Stilbite","Ulvospinel","Ulvospinel","Saponite(FeNa)","Wairakite","Ulvospinel","Ulvospinel","Saponite(FeMg)","Stilbite","Stellerite","Wustite","Saponite(FeMg)","Ulvospinel","Wairakite","Saponite(FeK)","Ulvospinel","Saponite(FeK)","Siderite","Ulvospinel","Stilbite","Saponite(FeNa)","Stilbite","Wairakite","Saponite(FeK)","Ulvospinel","Saponite(FeCa)","Ulvospinel","Ulvospinel","Ulvospinel","Stilbite","Ulvospinel","Saponite(FeNa)","Ulvospinel","Stilbite","Wustite","Ulvospinel","Stellerite","Wairakite","Stilbite","Wairakite","Wustite","Ulvospinel","Wustite","Wairakite","Ulvospinel","Saponite(FeK)","Wustite","Wairakite","Saponite(FeCa)","Ulvospinel","Saponite(FeNa)","Saponite(FeNa)","Saponite(FeCa)","Stilbite","Saponite(FeK)","Saponite(FeNa)","Saponite(FeMg)","Saponite(FeK)","Stellerite","Ulvospinel","Wairakite","Wairakite","Stilbite","Stilbite","Stellerite","Siderite","Ulvospinel","Stilbite","Saponite(FeNa)","Ulvospinel","Siderite","Wairakite","Saponite(FeNa)","Wairakite"
